State,cases_per_population
Lakshadweep,16.0359375
Goa,11.794722412611378
Kerala,10.736673052745015
Puducherry,9.756891025641025
Delhi,8.558803907553013
Chandigarh,5.876018957345972
Maharashtra,5.66273515225942
Karnataka,4.781158850969801
Sikkim,4.585597381342062
Mizoram,4.2224247948951685
Andhra Pradesh,4.046684469086981
Chhattisgarh,3.9277980035231943
Manipur,3.6913165266106445
Arunachal Pradesh,3.6564306358381504
Tamil Nadu,3.5748263961079463
Uttarakhand,3.3954193932183223
Himachal Pradesh,3.0388346686088856
Haryana,3.0378052147844268
Jammu and Kashmir,2.573726178135715
Odisha,2.356213370181541
Meghalaya,2.351499831479609
Tripura,2.1954273271638542
Punjab,2.1611685830659986
Assam,1.846276357110812
Telangana,1.8307425965544422
Nagaland,1.4558362809499747
Gujarat,1.3651307081403043
Madhya Pradesh,1.0904759937764192
Jharkhand,1.0532314781132532
Uttar Pradesh,0.8552098973034653
Bihar,0.6967204295910624
