State,Density
Delhi,11297
Chandigarh,9252
Puducherry,2598
Daman and Diu,2169
Lakshadweep,2013
Bihar,1102
West Bengal,1029
Kerala,859
Uttar Pradesh,828
Dadra and Nagar Haveli,698
Haryana,573
Tamil Nadu,555
Punjab,550
Jharkhand,414
Assam,397
Goa,394
Maharashtra,365
Tripura,350
Karnataka,319
Andhra Pradesh,308
Gujarat,308
Orissa,269
Madhya Pradesh,236
Rajasthan,201
Chhattisgarh,189
Meghalaya,132
Himachal Pradesh,123
Manipur,122
Nagaland,119
Sikkim,86
Jammu and Kashmir,56
Mizoram,52
Andaman and Nicobar Islands,46
Arunachal Pradesh,17
